,question,ground_truth
0,"Complete the following paragraph: A more complete paradigm of molecular biology must therefore include glycans, often in covalent combination with other macromolecules (i.e., glycoconjugates, such as glycoproteins and glycolipids). In analogy to the current situation in Cosmology, glycans can be considered as the “dark matter” of the biological universe: a major and critical component that has yet to be fully incorporated into the “standard model” of biology.","However, unlike the situation with dark matter in the Universe, there is already a lot known about glycans. The chemistry and metabolism of carbohydrates were prominent matters of interest in the first part of the 20th century. Although engendering much attention, they were primarily considered as a source of energy or as structural materials, apparently lacking other biological activities. Furthermore, during the molecular biology revolution of the 1970s, studies of glycans lagged far behind those of other major classes of molecules. This was in part because of their inherent structural complexity, the difficulty in determining their sequences, and the fact that their biosynthesis could not be directly predicted from a DNA template."
1,"Complete the following paragraph: Monosaccharide names are frequently abbreviated; most common are three-letter abbreviations for simple monosaccharides (e.g., Gal, Glc, Man, Xyl, Fuc). There are nine common monosaccharides found in vertebrate glycoconjugates (Figure 2.4). Once incorporated into a glycan, these nine monosaccharide building blocks can be further modified to generate additional sugar structures.","For example, glucuronic acid (GlcA) can be epimerized at C-5 to generate IdoA. Many more monosaccharides exist in glycoconjugates from other species and as intermediates in metabolism. We use a symbolic notation for the monosaccharides that are most abundant in vertebrate glycoconjugates (see Chapter 1). Common monosaccharides found in vertebrates. N-Acetylneuraminic acid is the most common form of sialic acid.  Monosaccharides exist in solution as an equilibrium mixture of acyclic and cyclic forms. The percentage of each form depends on the sugar structure. The cyclic form of a monosaccharide is characterized by a hemiacetal group formed by the reaction of one of the hydroxyl groups with the C-1 aldehyde or ketone. For reasons of chemical stability, five- and six-membered rings are most commonly formed from acyclic monosaccharides. Hexoses (six-carbon aldoses) and hexuloses (six-carbon ketoses) form six-membered rings via a C-1—O—C-5 ring closure; they form five-membered rings through a C-1—O—C-4 ring closure (Figure 2.5). A five-membered cyclic hemiacetal is labeled a “furanose” and a six-membered cyclic hemiacetal is called a “pyranose.” Pentoses can form both pyranose and furanose forms. Cyclization of acyclic D-glucose to form pyranose and furanose structures. The cyclization reaction produces both the α and β anomers (i.e., C-1 epimers)."
2,"Complete the following paragraph: In solution, NMR studies show IdoA2S and IdoA residues to be present in a mixture of 1C4 and 2S0 conformations. The conformational flexibility in IdoA residues likely allows orientation of the sulfate groups in HS to maximize the binding affinity to proteins.","Structural elements that dictate preferences for one form over the other, including the possible effects from the sulfated monosaccharide sequences around the IdoA/IdoA2S residue, are subject to further investigation. A second factor contributing to structural diversity and selective interactions with certain HS-binding proteins is the size of the sulfated saccharide domains. HS isolated from natural sources shows domain-like structures, with clusters of six to eight saccharides forming the highly sulfated domains known as S-domains. These regions are separated by nonsulfated saccharide residues, consisting of GlcA-GlcNAc RUs, known as NAc-domains. The S-domains contain primarily IdoA residues that likely contribute the flexibility needed to optimize binding to proteins and elicit desired biological activities."
3,"Complete the following paragraph: After more than three billion years of evolution, every free-living cell and every cell type within eukaryotic organisms remains covered with a dense and complex layer of glycans (Chapter 20). Even enveloped viruses that bud from infected cells carry with them the glycosylation patterns of the host. Additionally, most secreted molecules are glycosylated and extracellular matrices of multicellular organisms are rich in glycans and glycoconjugates. Matrices secreted by unicellular organisms when they congregate (e.g., bacterial biofilms [Chapter 21]) also contain glycans. Thus, evolution has repeatedly and consistently selected glycans as being the most diverse and flexible molecules to position at the interface between cells and the extracellular milieu.","Possible reasons include their relative hydrophilicity, flexibility, and mobility in aqueous environments and their extreme diversity, allowing facile short-term and long-term adaptations to changing environments and pathogen regimes. In bacteria, Archaea, and fungi, glycans serve critical structural roles in the cell wall and in resisting large differences in osmolarity between cytoplasm and environment. In eukaryotes, both secretory proteins and membrane proteins typically pass through an endoplasmic reticulum (ER)–Golgi pathway, the cellular system in which many major glycosylation reactions occur (see below). Most proteins in the blood plasma of animals (with the exception of albumin) are also heavily glycosylated, and the glycosylation of these and other secreted proteins may provide solubility, hydrophilicity, and negative charge, thus reducing unwanted intermolecular interactions and protecting against proteolysis. Cell-surface membrane proteins like receptors, adhesion molecules, and channels are typically glycosylated, and this modification can promote their proper folding, ensure their stability, and impact function."
4,"Complete the following paragraph: In eukaryotic cells, glycosylation occurs mostly in the endoplasmic reticulum (ER) and Golgi apparatus, whereas monosaccharide activation and interconversions occur mostly in the cytoplasm. Nucleotide sugar–specific transporters carry activated sugar donors into the Golgi and to a lesser extent into the ER. In some cases, nucleotide sugars are used to synthesize activated lipid-linked intermediates before glycan transfer. This chapter describes how cells accomplish these tasks, with an emphasis on animal cells.","Glucose and fructose are the major carbon and energy sources for organisms as diverse as yeast and humans. Most organisms can synthesize the other monosaccharides needed for glycan biosynthesis from these sources. Not all of these biosynthetic pathways are equally active in all types of cells. However, there are some general principles. Monosaccharides must be activated to a high-energy donor for use in glycan synthesis. This process requires nucleoside triphosphates (typically UTP or GTP) and a glycosyl-1-P (monosaccharide with a phosphate at the anomeric carbon). They can be activated by a kinase (reaction 1) or generated from a previously synthesized activated nucleotide sugar (reactions 2 and 3)"
5,"Complete the following paragraph: The biosynthesis of glycans is primarily determined by glycosyltransferases that assemble monosaccharide moieties into linear and branched glycan chains. As might be expected from the complex array of glycan structures found in nature, glycosyltransferases constitute a very large family of enzymes.","In many cases, they catalyze a group-transfer reaction in which the monosaccharide moiety of a simple nucleotide sugar donor (electrophile) substrate (e.g., UDP-Gal, GDP-Fuc, or CMP-Sia; Chapter 5) is transferred to the acceptor (nucleophile) substrate. In some instances, the donor substrates contain a lipid moiety, such as dolichol-phosphate, linked to mannose or glucose. For other glycosyltransferases, the donor substrate is dolichol-pyrophosphate, linked to an oligosaccharide, and in these cases the entire oligosaccharide is transferred en bloc to the acceptor substrate (Chapter 9). Similarly, other lipid-linked sugars serve as donor substrates for bacterial glycosyltransferases involved in the assembly of peptidoglycan (e.g., GlcNAc-MurNAc(pentapeptide)-undecaprenyl pyrophosphate), lipopolysaccharide, and capsules (Chapters 21 and 22). Glycosyltransferases that use monosaccharides, oligosaccharides, proteins, lipids, small organic molecules, and DNA as acceptor substrates have been characterized (activity to RNA has also been suggested), but only glycosyltransferases involved in the biosynthesis of glycoproteins, proteoglycans, and glycolipids are discussed in this chapter."
6,"Complete the following paragraph: Over the years, many theories have been advanced regarding biological roles of glycans. Although there is evidence to support all the theories, exceptions to each one can also be found. This should not be surprising, given the abundance and enormous diversity of glycans in nature. Complexities also arise because glycans are frequently bound by microbes and microbial toxins, making them a liability to the organism that synthesizes them. Biological functions of glycans can be divided into three broad categories:","(1) structural contributions (e.g., extracellular scaffolds: cell walls and extracellular matrices, protein folding and function); (2) energy metabolism (e.g., carbohydrates as carbon sources for storage and manipulation of animal behavior: pollination and seed dispersal); and (3) information carriers (e.g., molecular patterns recognized by glycan binding proteins [GBPs])"
7,"Complete the following paragraph: The glycome comprises all the glycan structures synthesized by an organism. It is analogous to the genome, the transcriptome, and/or the proteome but even more dynamic, and it has higher structural complexity that has yet to be fully defined. Cells of different types synthesize a subset of the glycome based on their differentiation state and physiological environment.","The human and mouse glycomes have many glycan structures in common, but a few are unique or have divergent functional properties. For example, unlike humans, rodents synthesize cytidine monophospho-N-glycolylneuraminic acid (CMP-Neu5Gc), for the transfer of Neu5Gc to N- and O-glycans (Chapter 15). Similarly, the gene encoding α-1,3-galactosyltransferase (A3GALT2) is functional in the mouse but not in human (Chapter 20). The human and fly genomes include orthologous genes encoding GTs that catalyze the same reaction, but they also have GTs that are unique. Thus, protein O-fucosyltransferase 1 (POFUT1) in mammals and Ofut1 in flies transfer fucose to Notch receptors and are examples of an evolutionarily conserved GT. In contrast, flies do not make complex N-glycans with four branches, which are common in mammalian glycoproteins (Chapters 9 and 20). Additionally, flies make unique glycolipids absent from mammals that are important for conserved signaling pathways mediated by the epidermal growth factor (EGF) receptor or Notch receptors (Chapter 26)."
8,"Complete the following paragraph: In mammals, there are two different catalytic STT3 subunits that both associate with ribophorins I and II, OST48, OST4, and DAD1 proteins (homologs of the yeast Ost1p, Swp1p, Wbp1p, Ost4p, and Ost2p, respectively).","The STT3A complex (OSTA), closely associated with the translocon, contains the KCP2 and DC2 subunits, whereas the STT3B complex (OSTB) that has either MAGT1 or TUSC3 (homologs of yeast Ost3p/Ost6p) glycosylates polypeptides posttranslationally after their translocation into the ER. On binding to the catalytic STT3 subunit, the client peptide adopts a 180° turn, making polypeptide folding a competing reaction for N-glycosylation. Indeed, the thioredoxin subunits of the OST complex (Ost3p/Ost6p; MAGT1/TUSC1) modulate the oxidative folding of the client polypeptide, thereby extending the polypeptide substrate range of OST. As of February 2021, the UniProt database reports 1911 N-glycosylation sites in yeast and 13,648 in murine glycoproteins."
9,"Complete the following paragraph: Sialic acids may be modified by O-acetylation, and Gal and GlcNAc by sulfation. The length of O-GalNAc glycans may vary from a single GalNAc to more than 20 sugar residues and can include blood group and other glycan epitopes. This chapter describes the structures, biosynthesis, and functions of O-GalNAc glycans in mammals.","About 150 years ago, E. Eichwald and E. Hoppe-Seyler noted that highly glycosylated proteins that contain hundreds of O-GalNAc glycans, which they termed mucins, are found throughout the body (Figure 10.1). Since then we have learned that O-GalNAc glycans are not only found as dense clusters on mucins, but also at single sites on most secreted and membrane-bound proteins. O-GalNAc glycans are involved in almost every aspect of biology, including cell–cell communication, cell adhesion, signal transduction, immune surveillance, epithelial cell protection, and host–pathogen interactions."
